,logRMSE,RMSE,CC,MAE,Relative Bias,Y,X
1,2.757877316,15.76634045,0.549919122,7.632830822,-0.00228526,29.543475,-95.217353
2,2.84398551,17.18411671,0.581191297,7.166033214,-0.002656055,29.50796,-95.11741
3,2.296907506,9.943385005,0.61455578,5.807237278,7.25E-05,29.513234,-95.222531
4,2.320883512,10.18466861,0.553456363,6.025686141,-0.00181101,29.495189,-95.223522
5,2.991184462,19.90925028,0.32812647,8.305712029,-0.002738429,29.497498,-95.159806
6,2.770513173,15.96682565,0.442853996,7.396942552,-0.001114081,29.583903,-95.187552
7,2.322731234,10.20350444,0.63246855,5.684985378,-0.00026108,29.556148,-95.252032
8,2.805679921,16.53831683,0.472649959,6.906664524,-0.000749617,29.591725,-95.222089
9,2.61500267,13.66725287,0.60772572,6.132569576,-0.00091256,29.534116,-95.091224
10,2.35360122,10.52339864,0.459532469,6.064649971,0.000208411,29.585932,-95.385979
11,2.442511227,11.50188836,0.657867666,6.270434898,-0.002222892,29.565371,-95.053834
12,2.534284599,12.60740827,0.640210694,6.416720715,-0.001742466,29.564191,-95.070795
13,2.56702652,13.02703118,0.610091538,7.18293641,-0.001832965,29.633755,-95.114485
14,2.560199936,12.93840391,0.443497327,7.234823635,-0.001265736,29.651497,-95.076001
15,2.772026843,15.99101246,0.380534466,8.070219537,-0.001507052,29.683502,-95.183473
16,2.721054657,15.19634073,0.557238238,7.452057025,-0.002349062,29.583671,-95.103438
17,2.571352364,13.08350614,0.583628515,7.435173939,-0.002043554,29.650747,-95.110027
18,2.801674844,16.47221207,0.542427086,7.779645699,-0.001740617,29.676469,-95.243682
19,2.476226538,11.89628942,0.548715991,6.376519467,0.001305645,29.644783,-95.336798
20,2.222668869,9.231936844,0.613831961,5.491479823,0.00044199,29.632178,-95.386657
21,2.574127078,13.11985955,0.382080442,6.764895868,-0.000113002,29.707682,-95.392158
22,2.516902353,12.39015682,0.496589336,6.718821303,0.001474284,29.722625,-95.305332
23,2.245294366,9.443194906,0.583739669,5.541753642,0.000430321,29.690953,-95.439914
24,2.432611174,11.38858085,0.368551949,5.478593987,-0.002536084,29.664477,-95.460008
25,2.502753293,12.21608215,0.372062138,5.820565132,-0.002863559,29.678605,-95.467271
26,2.447971827,11.56486736,0.360309499,5.53087641,-0.002778533,29.65023,-95.4867
27,2.59475702,13.39333265,0.234024141,5.897900216,-0.002952298,29.695066,-95.556599
28,2.341740572,10.39932159,0.418739181,5.414266287,-0.001229212,29.70391,-95.566081
29,2.230434236,9.303905289,0.42661886,5.136217083,-0.001302699,29.715071,-95.643933
30,2.487444884,12.0304975,0.268152095,5.845106469,-0.0014271,29.665721,-95.594968
31,2.207887208,9.09647711,0.449653668,5.221670061,-0.001082817,29.678422,-95.649195
32,2.414739311,11.18685369,0.488890111,6.108493682,-0.000103324,29.806225,-95.452383
33,2.380579199,10.81116287,0.41553535,5.929174347,0.000708388,29.803438,-95.429368
34,2.601280771,13.48099305,0.232252226,7.056386752,-0.001166411,29.840915,-95.458339
35,2.449744829,11.58539009,0.253657764,6.388223463,-0.00025196,29.877297,-95.524522
36,2.450674572,11.59616653,0.252001188,6.386402145,-0.000414771,29.887358,-95.556185
37,2.258142985,9.56530974,0.399162946,4.906735563,-0.001406463,29.917687,-95.584556
38,2.516596733,12.38637072,0.442564933,6.18462291,-0.000937075,29.845139,-95.399729
39,2.609741,13.59552915,0.237652341,6.857359502,-0.000875844,29.846237,-95.460193
40,2.62195869,13.76265397,0.231299255,7.099374511,-0.001419157,29.868133,-95.4692
41,2.576593549,13.15225924,0.221802635,6.888450177,-0.001235582,29.883128,-95.467416
42,2.772407206,15.997096,0.325570601,8.454491093,-0.001984055,29.619923,-95.021669
43,2.765474706,15.88657966,0.315282303,8.725759055,-0.00212858,29.650057,-95.027295
44,2.701102876,14.89615128,0.316160945,8.34036641,-0.002032964,29.6832709,-95.0467935
45,2.586682634,13.28562514,0.317732752,7.609230322,0.003716708,29.829041,-95.077694
46,2.601260442,13.480719,0.482503757,7.212957563,-3.15E-05,29.771615,-95.227954
47,2.745570043,15.57348896,0.418290638,7.488526625,-0.000642386,29.705491,-95.200141
48,2.616506522,13.68782186,0.392117973,7.116347407,-0.000304244,29.782684,-95.439563
49,2.317385526,10.14910502,0.577158887,5.668575423,-0.000247538,29.68798,-95.412726
50,2.183995302,8.881720621,0.507436923,4.934710141,0.001102915,30.134077,-95.596571
51,2.186373122,8.902864883,0.488217216,4.876462983,0.001849669,30.170279,-95.541396
52,2.316897165,10.1441498,0.356185458,5.165715086,-0.000951571,30.178866,-95.809912
53,2.351172283,10.49786899,0.416633147,5.09450566,-0.001282606,30.237906,-95.839529
54,2.201745749,9.040782671,0.506572295,3.869162797,-0.001231535,30.152994,-95.863216
55,2.141707023,8.513958751,0.635595811,3.809919653,-0.001550969,30.193345,-95.933637
56,2.343590212,10.41857439,0.337353994,5.391645778,-0.000418385,30.085697,-95.841879
57,2.251507064,9.502045244,0.552448681,5.24107193,-0.000129043,30.031016,-95.330033
58,2.074163373,7.957885888,0.552396546,4.687390312,-0.000619033,30.034738,-95.409868
59,2.13052416,8.419278706,0.559574463,5.04215005,0.001074462,30.023755,-95.475879
60,2.176502675,8.815421887,0.479151151,4.894061001,-0.001724943,29.985654,-95.569924
61,2.186918708,8.907723485,0.364600551,4.416182133,-0.000555949,29.966174,-95.607602
62,2.277251868,9.749849686,0.390792807,4.666546056,-0.001640996,29.961554,-95.631215
63,2.384667991,10.85545796,0.384906117,6.139698727,0.000793611,29.948015,-95.924128
64,2.20986848,9.114517575,0.579529147,4.905947323,-0.000546814,30.005339,-95.907953
65,2.251745873,9.504314683,0.548104928,4.475907698,0.000413971,30.043079,-95.936264
