,logRMSE,RMSE,CC,MAE,Relative Bias,Y,X
1,2.336174684,10.34160091,0.867866206,4.198621895,-0.00147408,29.543475,-95.217353
2,2.076547994,7.97688508,0.936158004,3.402218455,-0.000164605,29.50796,-95.11741
3,1.73023414,5.641974763,0.895897091,3.064140075,0.001347441,29.513234,-95.222531
4,1.710727416,5.532984795,0.888838244,2.872302503,8.90E-05,29.495189,-95.223522
5,2.219391047,9.201725743,0.929613907,3.801971964,-0.000553991,29.497498,-95.159806
6,1.975420256,7.209648912,0.924225226,2.780184928,-0.000193857,29.583903,-95.187552
7,1.808757834,6.102861957,0.891334787,3.186935593,0.001380968,29.556148,-95.252032
8,2.30719671,10.04622267,0.860383996,3.610061614,0.000663557,29.591725,-95.222089
9,2.145602756,8.547191557,0.870889919,3.865938427,0.000922197,29.534116,-95.091224
10,2.075528595,7.968757589,0.845856241,3.771512602,0.003476733,29.585932,-95.385979
11,1.817952683,6.159235625,0.913063787,2.732437009,0.0003311,29.565371,-95.053834
12,2.168082511,8.741506217,0.844725686,3.779299689,0.000154918,29.564191,-95.070795
13,1.615694076,5.031378871,0.952328043,2.511170821,0.000793205,29.633755,-95.114485
14,1.731340844,5.64822222,0.944741974,3.016448205,0.001999939,29.651497,-95.076001
15,1.561810645,4.767445585,0.968426083,2.751747929,0.0014929,29.683502,-95.183473
16,2.202163813,9.044563084,0.867876941,3.641820756,-0.000140617,29.583671,-95.103438
17,1.810608993,6.114169788,0.940832018,2.675546191,0.001420248,29.650747,-95.110027
18,2.25456732,9.531168468,0.891423664,3.43876188,-0.000411699,29.676469,-95.243682
19,1.716938026,5.567454934,0.91807061,2.648554708,0.000735436,29.644783,-95.336798
20,1.636345108,5.136362312,0.950492669,2.359742329,0.00199839,29.632178,-95.386657
21,1.313457093,3.719008471,0.97774853,2.108207288,0.00029736,29.707682,-95.392158
22,1.871939165,6.500890483,0.872900244,3.118717102,0.000430643,29.722625,-95.305332
23,1.578373404,4.847065178,0.92917652,2.490773144,0.000883065,29.690953,-95.439914
24,1.609192305,4.998772112,0.960226094,2.276840355,0.001348367,29.664477,-95.460008
25,1.462441319,4.316484592,0.950519915,2.158291396,0.000816107,29.678605,-95.467271
26,1.587458657,4.891302644,0.945843032,2.458190423,0.0013238,29.65023,-95.4867
27,1.823719842,6.194859541,0.948633755,3.0557311,0.002092828,29.695066,-95.556599
28,1.816431304,6.149872216,0.937114077,2.82569185,0.00243186,29.70391,-95.566081
29,1.633127076,5.119859902,0.926073732,2.441596668,0.001323724,29.715071,-95.643933
30,1.519079152,4.568016807,0.948331916,2.218414554,0.001378729,29.665721,-95.594968
31,1.775398656,5.902633785,0.917421335,2.732492928,0.001358453,29.678422,-95.649195
