,logRMSE,RMSE,CC,MAE,Relative Bias,Y,X
1,2.758041344,15.76892678,0.721090943,7.845882372,-0.005174951,29.543475,-95.217353
2,2.907458381,18.31020182,0.653973815,7.419294114,-0.005232458,29.50796,-95.11741
3,2.360416118,10.59535946,0.603757263,5.726991617,-0.00420648,29.513234,-95.222531
4,2.345297156,10.4363735,0.604537616,5.97647062,-0.004451554,29.495189,-95.223522
5,2.901224903,18.19642057,0.652931897,7.155999994,-0.005104586,29.497498,-95.159806
6,2.610451355,13.60519024,0.750076868,6.344437007,-0.004396247,29.583903,-95.187552
7,2.453189038,11.62536139,0.542062739,6.116537839,-0.004062833,29.556148,-95.252032
8,2.714960728,15.1040169,0.704999956,6.218789904,-0.00428191,29.591725,-95.222089
9,2.687845884,14.69997634,0.585052838,5.707361365,-0.004039343,29.534116,-95.091224
10,2.443958546,11.51854731,0.339471842,6.637445391,-0.001849218,29.585932,-95.385979
11,2.538297413,12.65810109,0.61776258,6.350285736,-0.004279168,29.565371,-95.053834
12,2.638330533,13.98982855,0.609326709,6.310924387,-0.004424026,29.564191,-95.070795
13,2.611598104,13.62080092,0.635338662,6.519697454,-0.004430609,29.633755,-95.114485
14,2.506267379,12.25908603,0.545218992,6.334420162,-0.004087637,29.651497,-95.076001
15,2.587666218,13.29869909,0.705850413,6.871092393,-0.004317445,29.683502,-95.183473
16,2.756720435,15.74811121,0.605574367,7.097042002,-0.004929096,29.583671,-95.103438
17,2.606502353,13.55156926,0.62036651,6.833647038,-0.004557941,29.650747,-95.110027
18,2.737158258,15.44303756,0.689711217,7.401478969,-0.004320925,29.676469,-95.243682
19,2.593991314,13.38308123,0.35313934,6.46826887,-0.002707883,29.644783,-95.336798
20,2.439768169,11.47038124,0.369263511,6.97337815,-0.002826702,29.632178,-95.386657
21,2.514791156,12.36402636,0.431682287,7.30383189,-0.003191737,29.707682,-95.392158
22,2.397422133,10.99479669,0.608160619,6.169949597,-0.003709346,29.722625,-95.305332
23,2.349845171,10.48394638,0.487324385,6.340067187,-0.002699846,29.690953,-95.439914
24,2.349308906,10.47832571,0.54979473,6.268739491,-0.003079144,29.664477,-95.460008
25,2.406364607,11.09355831,0.562134977,6.547999969,-0.003376309,29.678605,-95.467271
32,2.362440283,10.61682793,0.594280091,6.044302508,-0.002297124,29.806225,-95.452383
33,2.320774158,10.18355494,0.552225964,5.910588223,-0.001699958,29.803438,-95.429368
34,2.352766308,10.5146162,0.619755679,6.066991584,-0.002789241,29.840915,-95.458339
35,2.181118258,8.856204241,0.627504909,5.126823519,-0.001688772,29.877297,-95.524522
36,2.193036305,8.962384379,0.619387982,5.250857148,-0.001822885,29.887358,-95.556185
37,2.089523706,8.081065283,0.675296798,4.518151273,-0.000817206,29.917687,-95.584556
38,2.378623018,10.79003495,0.644180672,5.941075644,-0.003284848,29.845139,-95.399729
39,2.340489026,10.3863145,0.638701653,5.797680659,-0.002563831,29.846237,-95.460193
40,2.363596257,10.6291078,0.633918137,5.934285702,-0.00298531,29.868133,-95.4692
41,2.315233371,10.12728606,0.626153095,5.550789916,-0.003152199,29.883128,-95.467416
42,2.583504007,13.24346214,0.63699009,6.590655506,-0.004218635,29.619923,-95.021669
43,2.589624318,13.32476479,0.608788308,6.943932815,-0.004312851,29.650057,-95.027295
44,2.579577268,13.19156049,0.508051316,7.097882382,-0.004322989,29.6832709,-95.0467935
45,2.383190304,10.83942883,0.485656274,4.550151249,-0.002188605,29.829041,-95.077694
46,2.443774639,11.51642917,0.708977248,6.542521004,-0.003786277,29.771615,-95.227954
47,2.535669162,12.62487611,0.731764139,6.955226905,-0.003954494,29.705491,-95.200141
48,2.431403416,11.37483451,0.606346826,6.42574791,-0.003066785,29.782684,-95.439563
49,2.4469943,11.55356792,0.454699889,6.973647058,-0.003166725,29.68798,-95.412726
51,1.970808983,7.176479794,0.661940704,3.628235287,-0.00180863,30.170279,-95.541396
52,2.221223795,9.218605653,0.512569895,4.087092457,-0.002134609,30.178866,-95.809912
53,2.350285594,10.48856477,0.431475274,4.039159658,-0.003117605,30.237906,-95.839529
54,2.16762006,8.737464632,0.562520813,3.422621852,-0.002354941,30.152994,-95.863216
55,2.210566605,9.120882868,0.607168913,3.708873953,-0.003556018,30.193345,-95.933637
56,2.075487018,7.968426284,0.663858108,3.835226916,-0.002585123,30.085697,-95.841879
57,2.232592858,9.324010604,0.621451065,5.383831891,-0.003420986,30.031016,-95.330033
58,1.902857194,6.705024659,0.740819185,4.16016803,-0.002407397,30.034738,-95.409868
