,50_rmse,50_cc,50_POD,50_FAR,50_CSI,75_rmse,75_cc,75_POD,75_FAR,75_CSI,95_rmse,95_cc,95_POD,95_FAR,95_CSI
"(66,107)",0.38032690897465443,0.38075343927611427,1.0,0.0,1.0,0.38032690897465443,0.38075343927611427,1.0,0.0,1.0,1.4330218588721952,0.05982180034824895,0.2222222222222222,0.3333333333333333,0.2
"(66,108)",0.34792396050024404,0.41105187283285993,1.0,0.0,1.0,0.34792396050024404,0.41105187283285993,1.0,0.0,1.0,1.2017930910291807,0.05009070419856042,0.2222222222222222,0.5,0.18181818181818182
"(66,109)",0.30077196356839775,0.46467481200389027,1.0,0.0,1.0,0.30077196356839775,0.46467481200389027,1.0,0.0,1.0,0.8918156101594213,0.09744177161542283,0.2222222222222222,0.5,0.18181818181818182
"(66,110)",0.2905875981814589,0.4954563219779601,1.0,0.0,1.0,0.2905875981814589,0.4954563219779601,1.0,0.0,1.0,0.847046617715983,0.08892370320529054,0.2222222222222222,0.6,0.16666666666666666
"(66,111)",0.28838814054394724,0.4934628868486279,1.0,0.0,1.0,0.28838814054394724,0.4934628868486279,0.5476190476190477,0.08,0.5227272727272727,0.7767088829385225,0.11593012600761239,0.2222222222222222,0.3333333333333333,0.2
"(66,112)",0.2846512970164184,0.5433571231111545,1.0,0.0,1.0,0.2846512970164184,0.5433571231111545,0.5714285714285714,0.07692307692307693,0.5454545454545454,0.7280461608033509,0.12957902775673485,0.1111111111111111,0.5,0.1
"(66,113)",0.28192652985819117,0.5660862411046614,1.0,0.0,1.0,0.28192652985819117,0.5660862411046614,0.5952380952380952,0.038461538461538464,0.5813953488372093,0.7003744363542295,0.15184381052255932,0.1111111111111111,0.6666666666666666,0.09090909090909091
"(66,114)",0.2948773703425716,0.5645150428715735,1.0,0.0,1.0,0.2948773703425716,0.5645150428715735,0.5714285714285714,0.07692307692307693,0.5454545454545454,0.7753636825378397,0.09367569604690315,0.2222222222222222,0.3333333333333333,0.2
"(66,115)",0.31453705852597097,0.5793459585807703,1.0,0.0,1.0,0.31453705852597097,0.5793459585807703,0.5476190476190477,0.11538461538461539,0.5111111111111111,0.8571187999375349,0.029208003350257004,0.1111111111111111,0.5,0.1
"(66,116)",0.32599695076817803,0.5840000802657273,1.0,0.0,1.0,0.32599695076817803,0.5840000802657273,0.5476190476190477,0.11538461538461539,0.5111111111111111,0.8393235518766896,0.06984054046122654,0.1111111111111111,0.5,0.1
"(66,117)",0.317991594571884,0.6194901104183494,1.0,0.0,1.0,0.317991594571884,0.6194901104183494,0.7619047619047619,0.21951219512195122,0.6274509803921569,0.8863962922549145,-0.0957174217717704,0.1111111111111111,0.5,0.1
"(66,118)",0.3331911822319145,0.5662532998379366,1.0,0.0,1.0,0.6039173351235495,0.233655088814191,0.9047619047619048,0.2549019607843137,0.6909090909090909,0.7968889591034836,0.2428506764413441,0.1111111111111111,0.5,0.1
"(66,119)",0.31495746340972247,0.594992082688172,1.0,0.0,1.0,0.5885233526774414,0.23363947304912708,0.8809523809523809,0.27450980392156865,0.6607142857142857,0.6608778767423421,0.3186768017999947,0.1111111111111111,0.5,0.1
"(66,120)",0.3515007830565951,0.5525052647672898,1.0,0.0,1.0,0.6212538215173959,0.14492144643087151,0.9285714285714286,0.23529411764705882,0.7222222222222222,0.7742732970851128,0.33970756254499257,0.1111111111111111,0.5,0.1
"(66,121)",0.40262563285666986,0.5036453809564924,1.0,0.0,1.0,0.7031309592274009,0.04439457578660949,0.9285714285714286,0.23529411764705882,0.7222222222222222,0.888295530117278,0.08438574778000638,0.1111111111111111,0.75,0.08333333333333333
"(66,122)",0.4381144961980094,0.4912340717162906,1.0,0.0,1.0,0.7840987283931725,-0.01656381163735448,0.9285714285714286,0.22,0.7358490566037735,1.0443137964261158,-0.11790308940274558,0.0,1.0,0.0
"(66,123)",0.43564174159922053,0.5282445519963765,1.0,0.0,1.0,0.7698944574641131,-0.015463362935439234,0.9285714285714286,0.22,0.7358490566037735,1.0373944940933848,-0.03787609718032928,0.0,1.0,0.0
"(66,124)",0.4874518889431996,0.4945747918151491,1.0,0.0,1.0,0.8864536961970989,-0.03680436971008528,0.8809523809523809,0.24489795918367346,0.6851851851851852,1.0357753497517916,-0.059788657341269064,0.1111111111111111,0.8,0.07692307692307693
"(66,125)",0.48238446937918367,0.5325925331841821,1.0,0.0,1.0,0.846164036868983,0.05564529199928142,0.8333333333333334,0.2708333333333333,0.6363636363636364,0.8570302465933559,-0.04527096987349885,0.0,1.0,0.0
"(66,126)",0.4998481368846427,0.5649083687059475,1.0,0.0,1.0,0.9068353507225342,0.07853498498587275,0.8333333333333334,0.2553191489361702,0.6481481481481481,0.8007786406612701,-0.03574591716482628,0.0,1.0,0.0
"(66,127)",0.5336770128321349,0.5574101093690715,1.0,0.0,1.0,0.9677512127432016,0.09197838763364258,0.8333333333333334,0.2857142857142857,0.625,1.1587067407895373,-0.12469596481739352,0.0,1.0,0.0
"(66,128)",0.5275989955247227,0.5860299783439646,1.0,0.0,1.0,0.9542091655070569,0.15896167986401138,0.8333333333333334,0.2857142857142857,0.625,1.1274114665413832,0.04091192861156645,0.0,1.0,0.0
"(66,129)",0.5190371518626825,0.5859376276927754,1.0,0.0,1.0,0.9317330989326549,0.1746382453717101,0.8333333333333334,0.3269230769230769,0.5932203389830508,1.1513511050659653,-0.1394148465517526,0.0,1.0,0.0
"(66,130)",0.5089377707935905,0.6052515690606257,1.0,0.0,1.0,0.8835708703338606,0.2598024557064065,0.7380952380952381,0.27906976744186046,0.5740740740740741,0.9651947376968827,-0.27593911895274764,0.0,1.0,0.0
"(66,131)",0.5346461411290391,0.5642485530415801,1.0,0.0,1.0,0.8988072368236077,0.22150114976867644,0.7380952380952381,0.3111111111111111,0.5535714285714286,0.6107512767811224,0.4347448437726053,0.1111111111111111,0.75,0.08333333333333333
"(66,132)",0.5491443585000629,0.5666908354872643,1.0,0.0,1.0,0.91168747327731,0.2333203106884341,0.7380952380952381,0.3111111111111111,0.5535714285714286,0.5936518362893463,0.4250665473521563,0.0,1.0,0.0
"(66,133)",0.5538256034992525,0.5652685069706196,1.0,0.0,1.0,0.737239943996669,0.3800669225598228,0.7142857142857143,0.2857142857142857,0.5555555555555556,0.6092003063893033,0.29733021307193275,0.0,1.0,0.0
"(66,134)",0.5901718934530653,0.5721935250467619,1.0,0.0,1.0,0.8714370637381612,0.35697614067632855,0.5476190476190477,0.20689655172413793,0.4791666666666667,0.9458564394838744,0.02695825096799659,0.1111111111111111,0.8,0.07692307692307693
"(66,135)",0.6711287855077597,0.5402615080790439,1.0,0.0,1.0,1.0848720591996996,0.2686122908455304,0.5714285714285714,0.2727272727272727,0.47058823529411764,0.7536157006563253,0.1315013163781023,0.0,1.0,0.0
"(66,136)",0.6430882351972405,0.547022685567133,1.0,0.0,1.0,1.0876069304143523,0.22954989025347405,0.5952380952380952,0.24242424242424243,0.5,1.099540095936062,-0.10627092570372221,0.0,1.0,0.0
"(66,137)",0.6595276615957423,0.5224870475667732,0.7590361445783133,0.07352941176470588,0.7159090909090909,1.1583708620808046,0.16878694073396253,0.5714285714285714,0.2,0.5,1.3850555103563056,-0.5588334861537027,0.0,1.0,0.0
"(66,138)",0.669133140708343,0.5167441736517625,1.0,0.0,1.0,1.2421820581001384,0.12834337488111655,0.5476190476190477,0.17857142857142858,0.48936170212765956,1.5768660291125265,-0.5973985321242976,0.0,1.0,0.0
"(66,139)",0.6882353305707605,0.5139469934928336,1.0,0.0,1.0,1.2487321286210573,0.15356683915842775,0.5,0.3,0.4117647058823529,1.7651197905617955,-0.5973246291472021,0.0,1.0,0.0
