Site_ID,OBJECTID_1,OBJECTID,Number_,Descriptio,Latitude,Longitude,geometry,r
105,1,1,2.0,Mary's Creek @ Winding Road,29.543475,-95.217353,POINT (-95.21735299999983 29.54347500000006),0.07186279969171
110,2,2,3.0,Clear Creek @ I-45,29.50796,-95.11741,POINT (-95.11740999999989 29.50796000000003),-0.00498026025538675
115,3,3,4.0,Cowart Creek @ Baker Road,29.513234,-95.222531,POINT (-95.22253099999989 29.51323400000012),0.11638771718185577
125,4,4,6.0,Chigger Creek @ Windsong Lane,29.495189,-95.223522,POINT (-95.22352199999989 29.4951890000001),0.1313902528823375
130,5,5,7.0,Clear Creek @ Bay Area Boulevard,29.497498,-95.159806,POINT (-95.15980599999989 29.49749800000018),-0.002977412562607255
135,6,6,8.0,Clear Creek @ FM 2351,29.542461,-95.196775,POINT (-95.19677499999995 29.542461),0.0
140,7,7,9.0,Turkey Creek @ FM 1959,29.583903,-95.187552,POINT (-95.18755199999993 29.58390300000002),-0.0024422155907999742
150,8,8,10.0,Clear Creek @ Country Club Drive,29.556148,-95.252032,POINT (-95.25203199999999 29.55614800000006),0.10478563704999735
160,9,9,11.0,Beamer Ditch @ Hughes Road,29.591725,-95.222089,POINT (-95.22208899999998 29.59172500000011),0.008053956743032536
170,10,10,12.0,Clear Creek @ Nassau Bay,29.534116,-95.091224,POINT (-95.09122399999995 29.53411600000004),-0.018466304568508396
190,11,11,14.0,Clear Creek @ SH 288,29.585932,-95.385979,POINT (-95.38597899999996 29.58593200000007),0.26172977975966044
200,12,12,15.0,Taylor Lake @ Nasa Road 1,29.565371,-95.053834,POINT (-95.05383399999994 29.56537100000003),0.11497435705233573
210,13,13,16.0,Armand Bayou @ Pasadena Lake (Nasa Road 1),29.564191,-95.070795,POINT (-95.07079499999998 29.56419100000011),0.0971096870158194
220,14,14,17.0,Armand Bayou @ Genoa-Red Bluff Road,29.633755,-95.114485,POINT (-95.11448499999989 29.63375500000012),0.07422527541360255
230,15,15,18.0,Big Island Slough @ Fairmont Parkway,29.651497,-95.076001,POINT (-95.07600099999985 29.65149700000012),0.10942424209871775
240,16,16,19.0,Little Vince Bayou @ Burke Road,29.683502,-95.183473,POINT (-95.18347299999994 29.68350200000003),0.04139782502771304
250,17,17,20.0,Horsepen Creek @ Bay Area Boulevard,29.583671,-95.103438,POINT (-95.10343799999998 29.58367100000004),0.02081230050477012
270,18,18,21.0,Willow Spring Bayou @ Fairmont Parkway,29.650747,-95.110027,POINT (-95.11002699999989 29.65074700000008),0.10115616815424026
320,19,19,23.0,Berry Bayou @ Forest Oaks Boulevard,29.676469,-95.243682,POINT (-95.24368199999986 29.67646900000005),-0.035649898075459145
360,20,20,25.0,Sims Bayou @ Martin Luther King Road,29.644783,-95.336798,POINT (-95.33679799999999 29.64478300000007),0.14815897867009856
370,21,21,26.0,Sims Bayou @ SH 288,29.632178,-95.386657,POINT (-95.38665699999984 29.63217800000018),0.27192720134572324
400,22,22,28.0,Harris Gully @ South McGregor Way,29.707682,-95.392158,POINT (-95.39215799999988 29.70768200000015),0.24225785342417486
410,23,23,29.0,Brays Bayou @ Lawndale Street,29.722625,-95.305332,POINT (-95.30533199999991 29.72262500000005),-0.011006054485385199
430,24,24,31.0,Brays Bayou @ Stella Link Road,29.690953,-95.439914,POINT (-95.43991399999999 29.69095300000015),0.32324954235620645
435,25,25,32.0,Willow Water Hole @ Willowbend Boulevard,29.664477,-95.460008,POINT (-95.4600079999999 29.66447700000009),0.3499007996773977
440,26,26,33.0,Brays Bayou @ Rice Avenue,29.678605,-95.467271,POINT (-95.46727099999993 29.67860500000006),0.04755720202827108
445,27,27,34.0,Willow Water Hole @ Landsdowne Drive,29.65023,-95.4867,POINT (-95.48669999999998 29.65023000000008),0.4397966940164727
465,28,28,36.0,Brays Bayou @ Beltway 8,29.695066,-95.556599,POINT (-95.55659899999989 29.69506600000011),0.04072623662155156
475,29,29,38.0,Brays Bayou @ Bellaire Boulevard,29.70391,-95.566081,POINT (-95.56608099999988 29.70391000000018),0.04087912240045262
485,30,30,40.0,Brays Bayou @ SH 6,29.715071,-95.643933,POINT (-95.64393299999989 29.71507100000008),0.038010307844238714
490,31,31,41.0,Keegans Bayou @ Keegan Road,29.665721,-95.594968,POINT (-95.59496799999994 29.66572100000019),0.01809711170180333
495,32,32,42.0,Keegans Bayou @ Rocky Valley,29.678422,-95.649195,POINT (-95.64919499999996 29.67842200000018),0.003984328509005009
510,33,33,43.0,Harris County Flood Control @ Brookhollow,29.806225,-95.452383,POINT (-95.45238299999988 29.80622500000015),0.186612851173626
530,34,34,45.0,White Oak Bayou @ Ella Boulevard,29.803438,-95.429368,POINT (-95.42936799999995 29.80343800000014),0.027306138584928724
535,35,35,46.0,White Oak Bayou @ Pinemont Drive,29.840915,-95.458339,POINT (-95.45833899999985 29.840915),0.18342272039270235
545,36,36,48.0,White Oak Bayou @ Fairbanks North Houston Road,29.877297,-95.524522,POINT (-95.52452199999999 29.87729700000006),0.22231419292943136
